current voltage power
 main 
60 5450 0
1400 5445 7
2220 5445 12
2800 5443 15
3360 5442 18
4200 5441 23
4760 5440 26
5580 5440 30
6100 5438 33
6980 5438 38
7520 5437 41
8320 5437 45
8900 5435 48
9760 5433 53
10300 5433 55
11100 5431 60
11660 5431 63
12180 5430 66
13020 5430 71
13580 5428 73
14400 5428 78
14960 5427 81
15820 5427 86
16360 5425 89
17160 5425 93
17700 5423 96
18520 5422 101
19080 5421 103
19600 5422 106
20360 5421 110
20960 5421 113
21760 5420 118
22320 5417 121
23120 5416 125
23680 5416 128
24520 5416 132
25060 5416 135
25860 5413 140
26400 5413 143
27200 5406 147
27820 5412 150
28300 5411 153
29120 5411 158
29700 5410 160
30500 5411 165
31060 5403 168
31880 5407 172
32400 5408 175
33580 5406 181
34080 5403 184
34820 5403 188
35460 5403 191
36000 5402 194
36800 5403 199
37380 5402 202
38200 5400 206
38720 5405 209
39560 5400 213
40100 5396 216
40900 5395 220
41480 5396 224
42300 5393 228
42820 5392 231
43660 5391 235
44200 5396 238
44760 5393 241
45580 5390 246
46120 5391 248
46960 5388 253
47500 5387 256
48280 5390 260
48820 5387 263
49620 5378 267
50180 5380 270
51000 5387 275
51560 5381 277
52100 5383 280
52860 5378 284
53380 5385 287
54180 5381 291
54720 5376 294
55520 5377 298
56080 5377 301
56900 5383 306
57420 5377 309
58220 5380 313
58760 5375 316
59320 5367 318
60120 5370 323
60660 5372 326
61460 5372 330
61980 5371 333
62800 5362 336
63360 5362 339
64180 5360 344
64700 5358 346
65500 5361 351
66060 5366 354
66860 5366 359
67400 5362 361
67960 5362 364
68780 5360 368
69300 5361 371
70100 5357 375
70660 5355 378
71460 5357 383
72000 5356 386
72820 5356 390
73320 5355 392
74180 5351 397
74720 5355 400
75280 5350 402
76080 5351 407
76660 5355 410
77460 5348 414
78000 5350 417
78820 5347 421
79360 5346 424
80200 5347 429
80760 5347 432
81560 5342 435
82100 5341 438
82920 5342 443
83520 5341 446
83980 5341 448
84800 5340 453
85380 5340 456
86060 5336 459
86620 5338 462
87380 5337 466
87920 5337 469
88760 5332 473
89300 5335 476
90120 5333 481
90680 5330 483
91200 5331 486
92060 5327 490
92580 5330 493
93400 5330 498
93920 5327 500
94780 5327 505
95320 5325 507
96100 5323 511
96680 5323 514
97500 5322 519
98060 5322 522
98880 5318 526
99380 5321 528
99960 5318 531
100780 5317 536
101220 5316 538
102080 5315 542
102800 5313 546
103460 5315 550
104100 5313 553
104900 5313 557
105400 5310 560
106280 5310 564
106800 5308 567
107360 5310 570
108180 5307 574
108700 5305 576
109560 5305 581
110100 5305 584
110900 5302 588
111480 5302 591
112300 5301 595
112860 5298 598
113620 5297 602
114200 5295 605
114720 5296 607
115580 5295 612
116160 5295 615
116900 5293 619
117480 5291 621
118300 5292 626
118880 5288 629
119680 5288 633
120260 5288 636
121060 5287 640
121620 5287 643
122420 5286 647
122960 5285 650
123500 5280 652
124320 5280 656
124880 5280 659
125680 5277 663
126220 5277 666
127100 5278 671
127620 5273 673
128420 5271 677
128980 5273 680
129820 5272 684
130360 5271 687
130880 5268 689
131720 5270 694
132260 5267 696
133080 5263 700
133660 5267 704
134420 5261 707
134980 5262 710
135860 5260 714
136320 5260 717
137160 5257 721
137680 5257 724
138620 5256 729
139100 5255 731
139660 5253 734
140460 5252 738
141000 5250 740
141820 5250 744
142400 5247 747
143200 5246 751
143720 5243 753
144580 5242 758
145120 5241 760
145960 5241 764
146500 5241 768
147060 5236 770
147860 5235 774
148380 5236 777
149200 5232 780
149760 5232 783
150580 5230 787
151200 5231 791
151980 5225 794
152480 5225 796
153360 5221 800
153880 5223 804
154700 5221 807
155260 5221 810
155680 5218 812
156500 5213 816
157000 5216 819
157860 5213 823
158400 5212 826
159200 5210 829
159800 5207 832
160560 5205 836
161100 5205 838
161960 5201 842
162480 5198 845
163060 5200 848
163860 5198 852
164400 5197 854
165220 5192 858
165760 5193 861
166580 5190 864
167100 5188 867
167920 5183 870
168520 5181 873
169320 5180 877
169900 5177 879
170300 5177 882
171280 5175 886
171720 5172 888
172600 5170 892
173160 5167 895
174000 5166 899
174520 5163 901
175380 5162 905
175880 5158 907
176720 5156 911
177280 5151 913
178080 5148 916
178600 5146 919
179180 5143 921
180000 5141 925
180560 5136 927
181360 5132 931
181960 5135 934
182760 5130 937
183300 5127 940
184100 5123 943
184620 5118 945
185480 5117 949
186080 5111 951
186600 5108 953
187380 5105 956
187960 5098 958
188760 5095 961
189360 5088 963
190160 5083 966
190720 5077 968
191560 5073 972
192080 5067 973
192880 5061 976
193420 5055 977
194280 5048 981
194860 5043 982
195320 5031 983
196180 5018 984
196700 5006 985
197500 5000 987
198080 4986 987
199000 4965 988
199500 4951 988
200360 4913 984
200860 4877 979
  
  
  
  
  
  
  
  
  
  
  
  
  
 0 
