current voltage power
80 5490 1
1300 5486 7
3800 5483 21
6060 5482 33
8560 5477 46
11020 5478 60
13260 5476 72
15780 5471 86
17960 5471 98
20360 5470 111
22860 5468 125
24980 5465 137
27520 5462 150
29660 5461 162
32260 5458 176
34660 5456 189
36860 5455 201
39300 5452 214
41520 5451 226
43980 5448 239
46480 5446 253
48660 5446 265
51100 5442 278
53280 5440 290
55720 5438 303
58200 5436 316
60400 5433 328
62860 5431 341
65020 5431 353
67500 5428 366
69980 5425 379
72180 5425 391
74600 5422 404
76800 5418 416
79280 5418 429
81700 5417 442
83900 5412 454
86200 5413 466
88360 5411 478
90860 5407 491
93280 5405 504
95480 5402 516
97900 5402 529
100080 5398 540
102560 5402 554
105000 5395 566
107200 5391 578
109680 5385 590
111880 5386 602
114300 5385 615
116780 5383 628
118960 5380 640
121420 5381 653
123600 5375 664
126080 5375 677
128500 5372 690
130700 5371 702
133160 5361 714
135320 5366 726
137800 5367 740
140280 5356 751
142460 5358 763
144900 5355 776
147100 5353 787
149560 5352 800
151980 5348 813
154260 5345 824
156520 5345 836
158720 5341 848
161160 5341 860
163620 5337 873
165800 5332 884
168220 5332 897
170460 5330 908
172960 5325 921
175380 5323 933
177560 5322 945
180000 5320 957
182460 5317 970
184620 5313 981
187100 5311 993
189300 5310 1005
191720 5306 1017
194220 5303 1030
196380 5301 1041
198860 5298 1053
201000 5297 1065
203480 5293 1077
206000 5290 1090
208120 5287 1100
210580 5283 1113
212760 5282 1124
215200 5278 1136
217700 5276 1148
219880 5272 1159
222320 5270 1172
224500 5267 1182
226720 5263 1193
229180 5261 1205
231360 5257 1216
233860 5253 1229
236020 5253 1240
238460 5247 1251
240960 5245 1264
243160 5241 1274
245520 5236 1285
247720 5233 1296
250200 5231 1309
252620 5226 1320
254820 5226 1331
257300 5220 1343
259500 5217 1354
261960 5213 1366
264460 5210 1378
266580 5205 1388
269020 5202 1399
271180 5198 1409
273660 5193 1421
276100 5190 1433
278280 5186 1443
280760 5180 1454
282960 5177 1465
285360 5173 1476
287820 5170 1488
290000 5165 1498
292480 5158 1509
294660 5153 1518
297060 5150 1529
299480 5145 1541
301660 5138 1550
304100 5135 1561
306220 5123 1569
308720 5131 1584
311220 5125 1595
313400 5107 1600
315800 5103 1612
318000 5106 1623
320480 5086 1630
322880 5080 1640
325080 5075 1650
327560 5066 1659
329780 5060 1669
332180 5050 1677
334600 5038 1686
336800 5030 1694
339260 5018 1702
341420 5007 1709
343900 4992 1717
346320 4973 1722
348500 4958 1728
350980 4935 1732
353160 4905 1732
355620 4866 1731
358120 4811 1723
