current voltage power
60 5500 0
1160 5496 6
3680 5492 20
5900 5492 33
8400 5490 46
10880 5487 60
13100 5487 72
15600 5486 85
17760 5483 97
20260 5480 111
22700 5481 124
24900 5478 136
27360 5476 149
29580 5476 162
32080 5473 175
34500 5470 188
36660 5468 200
39120 5467 214
41400 5465 226
43820 5463 239
46320 5461 253
48520 5460 265
51000 5458 278
53160 5456 290
55620 5455 303
58060 5453 316
60220 5451 328
62720 5451 342
64900 5447 353
67360 5446 367
69860 5442 380
72020 5443 392
74480 5441 405
76680 5438 417
79160 5437 430
81580 5438 443
83760 5427 454
86060 5428 467
88160 5428 478
90620 5430 492
93120 5426 505
95320 5426 517
97760 5423 530
99920 5421 541
102400 5421 555
104860 5418 568
107060 5416 580
109520 5416 593
111720 5411 604
114160 5411 617
116620 5406 630
118820 5407 642
121280 5405 655
123460 5402 667
125920 5400 680
128360 5400 693
130560 5397 704
133000 5396 718
135200 5398 730
137660 5395 742
140180 5382 754
142320 5388 767
144700 5386 779
146960 5383 791
149400 5381 804
151860 5378 817
154060 5378 829
156400 5378 841
158580 5375 852
161000 5373 865
163460 5370 877
165660 5368 889
168100 5366 902
170280 5362 913
172820 5362 926
175220 5361 939
177400 5357 950
179860 5355 963
182320 5355 976
184480 5351 987
186980 5350 1000
189180 5348 1012
191600 5346 1024
194020 5341 1036
196180 5342 1048
198700 5338 1061
200880 5336 1072
203360 5335 1085
205780 5332 1097
208000 5331 1109
210420 5327 1121
212600 5328 1133
215060 5323 1145
217520 5321 1157
219700 5318 1168
222160 5316 1181
224360 5316 1192
226580 5315 1204
229020 5311 1216
231200 5310 1227
233700 5307 1240
235860 5305 1251
238300 5302 1263
240760 5300 1276
242960 5296 1287
245400 5295 1299
247620 5293 1311
250080 5291 1323
252460 5288 1335
254660 5283 1345
257100 5282 1358
259320 5281 1369
261760 5278 1382
264260 5275 1394
266400 5272 1404
268820 5271 1417
271020 5268 1428
273500 5265 1440
275920 5263 1452
278120 5261 1463
280580 5256 1475
282780 5255 1486
285200 5253 1498
287620 5250 1510
289820 5248 1521
292280 5243 1532
294480 5243 1544
296880 5238 1555
299280 5237 1567
301460 5232 1577
303900 5230 1589
306060 5226 1599
308500 5225 1612
311000 5222 1624
313200 5217 1634
315580 5215 1645
317780 5212 1656
320260 5208 1668
322680 5206 1680
324900 5205 1691
327360 5200 1702
329580 5197 1713
331960 5195 1724
334400 5191 1736
336660 5190 1747
339000 5185 1758
341160 5180 1767
343660 5177 1779
346080 5172 1790
348260 5170 1800
350700 5166 1812
352860 5163 1822
355320 5157 1833
357820 5153 1844
360000 5152 1855
362400 5148 1866
364460 5145 1875
366880 5141 1886
369260 5130 1894
371460 5140 1909
373900 5130 1918
376320 5125 1928
378520 5123 1939
380980 5112 1947
383120 5102 1955
385580 5105 1968
388020 5098 1979
390220 5093 1987
392620 5091 1999
394800 5086 2008
397260 5077 2017
399700 5075 2028
401880 5070 2037
404300 5063 2047
406500 5056 2055
408980 5051 2066
411320 5045 2075
413500 5040 2084
415980 5032 2093
418120 5025 2101
420620 5016 2110
423000 5007 2118
425200 5000 2126
427620 4991 2134
429780 4982 2141
432200 4966 2147
434520 4963 2157
436680 4948 2161
439100 4925 2162
441280 4923 2172
443700 4903 2176
446160 4881 2177
448300 4856 2177
450880 4818 2173
452980 4776 2163
