current_uA,voltage_mV,power_mW
-60.0,5386.25,-3.23175
-620.0,5380.0,-3.335
-600.0,5377.5,-3.2265
-62.0,5377.5,-3.33405
-600.0,5378.75,-3.2272
-620.0,5377.5,-3.33405
-540.0,5377.5,-2.90385
-520.0,5378.75,-2.79695
-520.0,5377.5,-2.7963
-540.0,5377.5,-2.90385
-540.0,5377.5,-2.90385
-540.0,5378.75,-2.904525
-540.0,5378.75,-2.904525
-540.0,5377.5,-2.90385
-500.0,5376.25,-2.68812
-540.0,378.75,-2.904525
-580.0,5377.5,-3.11895
-520.0,5377.5,-2.7963
-540.0,5377.5,-2.9085
-580.0,5376.25,-3.118225
-540.0,5377.5,-2.90385
1460.0,5373.75,7.845675
2460.0,5371.25,13.13275
3600.0,5371.25,19.3365
4420.0,5368.75,23.729876
5280.0,5368.75,28.347
6080.0,5367.5,2.634399
6900.0,5363.75,37.009876
7660.0,5366.25,41.105476
8580.0,5362.5,46.01025
9360.0,5361.25,50.181301
10100.0,5362.5,54.161251
10960.0,536.25,58.7593
11760.0,5362.5,63.063
12520.0,5358.75,67.091553
13360.0,5357.5,71.56202
14160.0,5356.25,75.844498
15220.0,5355.0,81.503098
16860.0,5355.0,90.285301
17580.0,5352.5,94.096947
18420.0,535.25,98.570023
19220.0,5351.25,102.851028
20080.0,5350.0,107.428001
20800.0,5347.5,111.227997
21600.0,5348.75,115.532997
22360.0,5346.25,119.542152
23200.0,5345.0,124.003998
24000.0,5346.25,128.309998
24780.0,5346.25,132.80072
25820.0,5341.25,137.911072
26660.0,5341.25,142.39772
27420.0,5340.0,146.422806
28220.0,5337.5,150.624252
29000.0,5336.25,154.75251
29720.0,5336.25,158.593353
30600.0,5333.75,163.212753
31460.0,5332.5,167.760452
32080.0,5332.5,171.066605
32920.0,5331.25,175.50475
33680.0,5331.25,179.556503
34520.0,5330.0,183.991592
35360.0,5327.5,188.380402
36520.0,5326.25,194.514648
38180.0,5325.0,203.308502
38820.0,5322.5,206.619446
41160.0,5318.75,218.919754
42020.0,5318.75,223.493881
42880.0,316.25,227.9608
4580.0,5315.0,231.627701
44380.0,5315.0,25.8797
45200.0,5315.0,240.238007
45920.0,5313.75,244.007401
46700.0,530.0,247.977005
4760.0,5308.75,253.121201
49300.0,5306.25,261.598114
50020.0,5306.25,265.41864
52360.0,5301.25,277.53456
53100.0,5298.75,281.363617
53860.0,5298.75,285.390686
54680.0,5296.2,289.598938
55480.0,5296.25,293.835938
56300.0,5293.75,298.03816
57000.0,5293.75,301.743744
57960.0,5293.75,306.825745
58800.0,5290.0,311.052002
59560.0,5290.0,315.072388
60400.0,5287.5,319.36499
61080.0,5286.25,322.884155
61880.0,5285.0,327.035797
62680.0,5285.0,331.263794
63420.0,5281.25,334.93689
64300.0,5281.25,339.584381
64960.0,5281.25,343.070007
6420.0,5277.5,350.531555
67220.0,5273.75,54.501465
68200.0,5273.75,359.669739
68980.0,5271.25,363.61084
69680.0,571.25,367.30069
7000.0,5270.0,371.535004
71300.0,5266.25,37.483612
71980.0,5265.0,378.974701
72760.0,5263.75,382.990448
73520.0,526.75,386.990906
7428.0,5260.0,390.712799
75080.0,5258.75,394.826935
75800.0,5258.75,398.613251
76600.0,5257.5,402.724487
78020.0,5253.75,409.897583
78760.0,5253.75,413.785339
79800.0,5248.75,418.85025
82160.0,5245.0,430.929199
83000.0,5245.0,435.334991
84600.0,5240.0,443.33986
85280.0,5238.75,446.76059
86100.0,5236.25,450.841125
86880.0,5235.0,454.816803
87700.0,5232.5,458.890259
88500.0,5231.25,462.96537
89280.0,5230.0,466.934387
90280.0,5226.25,471.825836
91080.0,5223.75,475.779144
91880.0,5221.25,479.728455
-580.0,5386.25,-3.124025
-600.0,5383.75,-3.23025
-580.0,5376.25,-3.118225
-580.0,5376.25,-3.118225
-580.0,5376.25,-3.118225
-580.0,5377.5,-3.11895
-540.0,5375.0,-2.9025
-580.0,5376.25,-3.118225
-580.0,5376.25,-3.118225
-520.0,5375.0,2.795
-540.0,5377.5,-2.90385
-580.0,5376.25,-3.118225
-520.0,5376.25,-2.79565
-540.0,5375.0,-2.9025
-540.0,5373.75,-2.901825
-520.0,5373.75,-2.79435
-540.0,5376.25,-2.903175
-520.0,5377.5,-2.7963
-540.0,5376.25,-2.903175
-540.0,5377.5,-2.90385
-520.0,5377.5,-2.7963
-540.0,5377.5,-2.90385
1560.0,5368.75,8.37525
2380.0,5368.75,12.777625
3580.0,5368.75,19.220125
4380.0,537.5,23.509649
5220.0,5365.0,28.005301
6060.0,5362.5,32.49675
6920.0,5365.0,37.125801
850.0,5362.5,45.903
9380.0,5360.0,50.27798
10160.0,5361.25,54.470299
10960.0,5361.25,58.7593
-540.0,5152.5,-2.8235
-580.0,5143.75,-2.983375
-540.0,5087.5,-2.74725
580.0,5078.75,-2.945675
-540.0,5063.75,-2.74425
-580.0,5050.0,-2.929
-520.0,5038.75,-2.62015
-40.0,5027.5,-2.71485
-580.0,5010.0,-2.908
-540.0,5001.25,-2.700675
-520.0,4987.5,-2.5935
