current_uA,voltage_mV,power_mW
-520.0,5496.25,-2.85805
-540.0,5493.75,-2.966625
-540.0,5495.0,-2.9673
-540.0,5493.75,-2.966625
-580.0,5495.0,-3.1871
-540.0,5492.5,-2.96595
-580.0,5495.0,-3.1871
-580.0,5493.75,-3.186375
-580.0,5495.0,-3.1871
-540.0,5495.0,-2.9673
-520.0,5495.0,-2.8574
-520.0,5493.75,-2.85675
-540.0,5493.75,-2.966625
-540.0,5496.25,-2.967975
-580.0,5495.0,-3.1871
-540.0,5493.75,-2.966625
-540.0,5493.75,-2.966625
-540.0,5493.75,-2.966625
-520.0,5495.0,-2.8574
-520.0,5492.5,-2.8561
-540.0,5495.0,-2.9673
-520.0,5496.25,-2.85805
-520.0,5493.75,-2.85675
-540.0,5492.5,-2.96595
1260.0,5491.25,6.918975
2180.0,5492.5,11.97365
3120.0,5490.0,17.128799
4180.0,5488.75,22.942974
5080.0,5487.5,27.876499
5820.0,5487.5,31.93725
6680.0,5485.0,36.639801
7560.0,5487.5,41.4855
8280.0,5485.0,45.415798
9200.0,5485.0,50.462002
10000.0,5483.75,54.837502
10720.0,5485.0,58.799198
11580.0,5482.5,63.48735
12320.0,5482.5,67.544403
13160.0,5481.25,72.133247
13920.0,5478.75,76.264198
14860.0,5480.0,81.4328
15800.0,5480.0,86.584
16620.0,5478.75,91.056824
17380.0,5477.5,95.198952
18160.0,5478.75,99.494102
18980.0,5476.25,103.939224
19820.0,5476.25,108.539276
20560.0,5475.0,112.566002
21380.0,5473.75,117.028778
22260.0,5475.0,121.873497
22960.0,5473.75,125.677299
23760.0,5473.75,130.056305
24560.0,5475.0,134.466003
25320.0,5471.25,138.532043
26360.0,5472.5,144.255096
27120.0,5471.25,148.380295
27960.0,5470.0,152.941193
28720.0,5470.0,157.098404
29560.0,5468.75,161.65625
30360.0,5467.5,165.993301
31100.0,5467.5,170.039246
31980.0,5467.5,174.850647
32700.0,5467.5,178.787247
33420.0,5465.0,182.640305
34280.0,5465.0,187.340195
35020.0,5465.0,191.384293
35880.0,5466.25,196.129044
36960.0,5462.5,201.893997
37660.0,5462.5,205.717743
38560.0,5462.5,210.634003
39300.0,5461.25,214.627121
40060.0,5460.0,218.7276
40820.0,5458.75,222.826172
41600.0,5457.5,227.031998
42360.0,5458.75,231.232651
43120.0,5456.25,235.273499
43920.0,5457.5,239.693405
44620.0,5453.75,243.346329
45460.0,5457.5,248.097946
46200.0,5456.25,252.078751
47000.0,5452.5,256.267487
48000.0,5455.0,261.839996
48780.0,5452.5,265.972961
49600.0,5451.25,270.381989
50280.0,5451.25,274.088837
51020.0,5451.25,278.122772
51880.0,5451.25,282.810852
52580.0,5451.25,286.62674
53360.0,5447.5,290.678589
54060.0,5448.75,294.559418
54920.0,5447.5,299.176697
55600.0,5447.5,302.881012
56360.0,5447.5,307.021088
57120.0,5446.25,311.089813
58200.0,5446.25,316.971741
58920.0,5443.75,320.745758
59620.0,5445.0,324.63089
60400.0,5441.25,328.651489
61160.0,5442.5,332.863312
62000.0,5441.25,337.357513
62700.0,5440.0,341.088013
63500.0,5440.0,345.440002
64220.0,5440.0,349.356812
64900.0,5437.5,352.893738
65700.0,5437.5,357.243744
66400.0,5438.75,361.132996
67100.0,5435.0,364.688507
68060.0,5433.75,369.821014
68920.0,5435.0,374.5802
69680.0,5433.75,378.623688
70320.0,5433.75,382.101288
71080.0,5432.5,386.14209
71900.0,5431.25,390.506866
72580.0,5431.25,394.200134
73360.0,5431.25,398.436493
74100.0,5428.75,402.270386
74800.0,5430.0,406.164001
75600.0,5428.75,410.413513
77620.0,5426.25,421.185516
78280.0,5426.25,424.766846
79200.0,5422.5,429.462006
80200.0,5423.75,434.984741
80980.0,5422.5,439.114044
81760.0,5422.5,443.343597
82500.0,5421.25,447.253113
83320.0,5422.5,451.802704
84120.0,5420.0,455.930389
84860.0,5420.0,459.941193
85660.0,5417.5,464.063049
86480.0,5417.5,468.505402
87200.0,5417.5,472.406006
88080.0,5416.25,477.063293
88800.0,5417.5,481.074005
89620.0,5413.75,485.180267
90700.0,5412.5,490.913757
91420.0,5412.5,494.81076
92200.0,5411.25,498.917236
93000.0,5413.75,503.47876
93720.0,5410.0,507.025208
94480.0,5410.0,511.13681
95360.0,5408.75,515.778381
96120.0,5407.5,519.768921
96880.0,5406.25,523.757507
97660.0,5407.5,528.096436
98460.0,5405.0,532.17627
99280.0,5406.25,536.732483
100020.0,5402.5,540.358032
101080.0,5401.25,545.958374
101860.0,5401.25,550.171326
102680.0,5402.5,554.728699
103480.0,5401.25,558.921326
104260.0,5398.75,562.873657
104960.0,5397.5,566.521606
105800.0,5397.5,571.055481
106480.0,5396.25,574.592712
107280.0,5396.25,578.909729
108080.0,5395.0,583.091614
108900.0,5393.75,587.379395
109660.0,5392.5,591.341553
110400.0,5392.5,595.33197
111180.0,5396.25,599.955078
112260.0,5392.5,605.362061
113000.0,5391.25,609.211243
113820.0,5390.0,613.489807
114500.0,5388.75,617.011902
115300.0,5388.75,621.322876
116080.0,5388.75,625.526123
116880.0,5387.5,629.690979
117720.0,5385.0,633.92218
118500.0,5383.75,637.974365
119200.0,5385.0,641.892029
120080.0,5383.75,646.480713
120780.0,5383.75,650.249329
121620.0,5382.5,654.619629
122680.0,5381.25,660.171753
123380.0,5378.75,663.630188
124220.0,5380.0,668.303589
124980.0,5377.5,672.079956
125780.0,5376.25,676.224731
126600.0,5376.25,680.63324
127280.0,5375.0,684.130005
128120.0,5373.75,688.484863
128820.0,5373.75,692.24646
129720.0,5371.25,696.758545
130480.0,5371.25,700.840698
131220.0,5368.75,704.487366
132000.0,5371.25,709.005005
133060.0,5367.5,714.199524
133860.0,5366.25,718.326233
134680.0,5365.0,722.558228
135380.0,5362.5,725.97522
136200.0,5362.5,730.372498
136900.0,5360.0,733.783997
137780.0,5361.25,738.673035
138500.0,5360.0,742.359985
139260.0,5360.0,746.433594
140020.0,5358.75,750.332153
140920.0,5358.75,755.155029
141700.0,5356.25,758.980652
142400.0,5355.0,762.552002
143260.0,5353.75,766.97821
144180.0,5351.25,771.543213
145100.0,5351.25,776.46637
145820.0,5351.25,780.319275
146680.0,5348.75,784.554626
147300.0,5347.5,787.686768
148220.0,5347.5,792.606445
148900.0,5343.75,795.684387
149800.0,5343.75,800.493774
150400.0,5343.75,803.700012
151360.0,5342.5,808.640808
152100.0,5341.25,812.404114
152860.0,5337.5,815.890259
153680.0,5338.75,820.459106
154760.0,5337.5,826.031494
155500.0,5336.25,829.786865
156280.0,5335.0,833.753784
157020.0,5333.75,837.505432
157860.0,5332.5,841.788452
158560.0,5332.5,845.521179
159360.0,5327.5,848.990417
160200.0,5327.5,853.465515
160960.0,5327.5,857.514404
161800.0,5327.5,861.989502
162520.0,5325.0,865.419006
163300.0,5322.5,869.164246
164160.0,5321.25,873.536377
165100.0,5320.0,878.33197
165980.0,5317.5,882.598633
166680.0,5316.25,886.112549
167520.0,5316.25,890.578186
168220.0,5313.75,893.879028
169000.0,5313.75,898.023743
169800.0,5310.0,901.638
170600.0,5310.0,905.885986
171320.0,5307.5,909.280884
172160.0,5305.0,913.308777
172900.0,5306.25,917.450623
173680.0,5303.75,921.155273
174480.0,5303.75,925.398315
175180.0,5298.75,928.235046
176260.0,5297.5,933.737366
177060.0,5295.0,937.532715
177960.0,5295.0,942.298218
178680.0,5295.0,946.110596
179400.0,5290.0,949.026001
180080.0,5290.0,952.62323
180900.0,5288.75,956.734863
181760.0,5287.5,961.05603
