current_uA,voltage_mV,power_mW
-440.0,5095.0,-2.2418
-500.0,5096.25,-2.548125
-500.0,5097.5,-2.54875
-480.0,5097.5,-2.4468
-540.0,5095.0,-2.7513
-480.0,5098.75,-2.4474
-500.0,5095.0,-2.5475
-440.0,5096.25,-2.24235
-500.0,5102.5,-2.55125
-500.0,5103.75,-2.551875
-520.0,5103.75,-2.65395
-480.0,5103.75,-2.4498
-500.0,5105.0,-2.5525
-480.0,5106.25,-2.451
-520.0,5107.5,-2.6559
-540.0,5107.5,-2.75805
-440.0,5107.5,-2.2473
-500.0,5108.75,-2.554375
-480.0,5110.0,-2.4528
-500.0,5108.75,-2.554375
-520.0,5111.25,-2.65785
-480.0,5110.0,-2.4528
-500.0,5110.0,-2.555
-480.0,5110.0,-2.4528
1660.0,5105.0,8.4743
2700.0,5105.0,13.7835
3500.0,5103.75,17.863125
4520.0,5101.25,23.05765
5500.0,5101.25,28.056875
6260.0,5101.25,31.933825
7100.0,5097.5,36.192249
8060.0,5097.5,41.08585
8760.0,5101.25,44.686951
9600.0,5102.5,48.984001
10400.0,5101.25,53.053001
11220.0,5100.0,57.222
11960.0,5098.75,60.981049
12860.0,5098.75,65.569923
13600.0,5102.5,69.393997
14480.0,5098.75,73.829903
15260.0,5100.0,77.825996
16360.0,5098.75,83.41555
17160.0,5096.25,87.451653
17820.0,5096.25,90.815178
18660.0,5097.5,95.119347
19520.0,5096.25,99.478798
20360.0,5093.75,103.708748
21060.0,5095.0,107.300697
21860.0,5092.5,111.322052
22620.0,5091.25,115.164078
23500.0,5091.25,119.644379
24260.0,5090.0,123.483398
25060.0,5091.25,127.586723
25820.0,5088.75,131.391525
26900.0,5087.5,136.853745
27660.0,5086.25,140.685669
28460.0,5091.25,144.896973
29220.0,5088.75,148.693268
30060.0,5090.0,153.005402
30820.0,5091.25,156.912323
31760.0,5088.75,161.618698
32500.0,5091.25,165.465622
33220.0,5092.5,169.172852
34080.0,5088.75,173.424606
34860.0,5090.0,177.437393
35660.0,5086.25,181.375671
36420.0,5086.25,185.241226
37420.0,5085.0,190.280701
38180.0,5085.0,194.145294
39020.0,5085.0,198.416702
39880.0,5083.75,202.739944
40700.0,5085.0,206.959503
41420.0,5083.75,210.568924
42220.0,5081.25,214.53038
43060.0,5078.75,218.690979
43860.0,5080.0,222.808807
44620.0,5078.75,226.613831
45400.0,5078.75,230.575256
46180.0,5077.5,234.478943
47080.0,5077.5,239.048706
47720.0,5080.0,242.417603
48780.0,5082.5,247.924347
