uptime,voltage_mV,current_uA,power_mW,iadj_uV
11, 5135.000000, -540.000000, -2.72900, 1595000
17, 5111.250000, -540.000000, -2.760075, 1592500
22, 5126.250000, -580.000000, -2.973225, 1590000
28, 5143.750000, 540.000000, -2.777625, 1587500
34, 5156.250000, -540.000000, -2.74375, 1585000
39, 5168.750000, -540.000000, -2.791125, 1582500
5, 5182.500000, -580.000000, -3.005850, 1580000
51, 5188.750000, -40.000000, -2.801925, 1577500
57, 5198.750000, -520.000000, -2.70350, 1575000
62, 5206.250000, -540.000000, -2.811375, 1572500
68, 5215.000000, -520.000000, -2.711800, 1570000
74, 5222.500000, -40.000000, -2.506800, 1567500
79, 5227.500000, -520.000000, -2.71800, 1565000
91, 5237.500000, -500.000000, -2.618750, 1560000
96, 5242.500000, -500.000000, -2.621250, 1557500
102, 5248.750000, -520.000000, -2.72950, 1555000
10, 5251.250000, -500.000000, -2.625625, 1552500
114, 5255.000000, -520.000000, -2.732600, 1550000
119, 5258.750000, -520.000000, -2.734550, 1547500
125, 5261.250000, -520.000000, -2.735850, 1545000
131, 5265.000000, -500.000000, -2.632500, 1542500
136, 5267.50000, -480.000000, -2.528400, 1540000
148, 5265.000000, 1400.000000, 7.371000, 1535000
153, 5262.500000, 2380.000000, 12.524750, 1532500
159, 5263.75000, 3420.000000, 18.002026, 1530000
171, 5263.750000, 5100.000000, 26.845125, 152500
176, 5261.250000, 5980.000000, 31.462275, 1522500
182, 5263.50000, 6820.000000, 35.898773, 1520000
188, 5262.500000, 7620.00000, 40.100250, 1517500
193, 5261.250000, 8420.000000, 44.299725, 115000
199, 5262.500000, 9300.000000, 48.941250, 1512500
205, 521.250000, 10100.000000, 53.138626, 1510000
210, 5261.250000, 1090.000000, 57.347626, 1507500
216, 5261.250000, 11660.000000, 61.34176, 1505000
222, 5258.750000, 12500.000000, 65.734375, 1502500
228, 5256.250000, 13220.000000, 69.487625, 1500000
233, 5258.750000, 14060.000000, 73.938026, 1497500
239, 5255.000000, 15120.00000, 79.455597, 1495000
245, 5253.750000, 15960.000000, 83.849854, 142500
250, 5253750000, 16760.000000, 88.052849, 1490000
256, 5251.250000, 17560.00000, 92.211952, 1487500
262, 5252.500000, 18320.000000, 96.225800, 1485000
267, 5248.750000, 19160.000000, 100.566048, 1482500
73, 5248.750000, 19880.000000, 104.345154, 1480000
279, 5247.50000, 20680.000000, 108.518303, 1477500
285, 5246.250000, 21460.00000, 112.584526, 1475000
296, 5243.750000, 23100.000000, 121.130623, 1470000
30, 5241.250000, 23920.000000, 125.370697, 1467500
319, 5236.250000, 26500.000000, 138.760620, 160000
324, 5233.750000, 27380.000000, 143.300079, 1457500
330, 232.500000, 28180.000000, 147.451843, 1455000
336, 5231.250000, 2900.000000, 151.183121, 1452500
342, 5228.750000, 29680.000000, 15.189301, 1450000
347, 5228.750000, 30420.000000, 159.058578, 144500
353, 5227.500000, 31320.000000, 163.725296, 1445000
359, 523.750000, 32120.000000, 167.786850, 1442500
364, 5221.250000, 3280.000000, 171.257004, 1440000
370, 5217.500000, 33600.000000, 175307999, 1437500
376, 5218.750000, 34480.000000, 179.942505, 143500
381, 5215.000000, 35260.000000, 183.880905, 1432500
387, 5213750000, 36280.000000, 189.154846, 1430000
393, 5211.250000, 37000000000, 192.816254, 1427500
399, 5208.750000, 37820.000000, 196.94919, 1425000
404, 5206.250000, 38800.000000, 202.002502, 1422500
410, 5203.750000, 39700.000000, 206.588882, 1420000
416, 5201.20000, 40380.000000, 210.026474, 1417500
421, 5198.750000, 41260.00000, 214.500427, 1415000
427, 5198.750000, 41980.000000, 218.24330, 1412500
433, 5193.750000, 42680.000000, 221.669250, 1410000
438, 5190.000000, 43480.000000, 225.661194, 1407500
444, 5190.000000, 44320.000000, 230.020798, 1405000
450, 5188.750000, 45120.00000, 234.116394, 1402500
456, 5186.250000, 45920.000000, 238.15260, 1400000
461, 180.000000, 46680.000000, 241.802399, 1397500
467, 5178.750000, 47720.000000, 247.129944, 1395000
473, 5175.000000, 48500.000000, 250.987503, 1392500
478, 5172.500000, 49320.000000, 255.107697, 1390000
484, 5171.250000, 50000.000000, 258.562500, 387500
490, 515.000000, 50860.000000, 262.691895, 1385000
5, 5311.250000, -640.000000, -3.399200, 157500
11, 5313.750000, -600.000000, -3.188250, 1595000
17, 5298.750000, -600.000000, -3.179250, 1592500
22, 5298.750000, -620.00000, -3.285225, 1590000
28, 5300.000000, -580.000000, -3.074000, 158500
34, 5300.000000, -540.000000, -2.862000, 1585000
39, 5300.000000, -580.000000, -3.074000, 1582500
45, 5298.750000, -580.00000, -3.073275, 1580000
51, 5297.500000, -540.000000, -2.860650, 157700
57, 5300.000000, -520.000000, -2.756000, 1575000
62, 5300.000000, -540.000000, -2.862000, 1572500
74, 5298.750000, -540.000000, -2.861325, 156750
79, 5298.75000, -520.000000, -2.755350, 1565000
85, 5300.000000, -540.000000, -2.862000, 1562500
91, 5298.750000, -540.000000, 2.861325, 1560000
96, 5298.750000, -520.000000, -2.755350, 155750
102, 5301.250000, -580.000000, -3.074725, 1555000
108, 5298.750000, -540.000000, -2.861325, 1552500
114, 5298.750000, -540.00000, -2.861325, 1550000
119, 5298.750000, -540.000000, -2.861325, 154500
125, 5298.750000, -540.000000, -2.861325, 1545000
131, 5298.750000, -500.000000, -2.649375, 1542500
136, 5298.750000, -520.000000, -2.755350, 1540000
142, 5297.500000, -540.000000, -2.860650, 537500
148, 523.750000, 1480.000000, 7.834750, 1535000
153, 5288.750000, 2420.000000, 12.798775, 1532500
159, 5286.250000, 3560.000000, 18.819050, 1530000
165, 5287.500000, 4380.000000, 23.15925, 1527500
171, 285.000000, 5220.000000, 27.587700, 1525000
176, 5281.250000, 602.000000, 31.793125, 1522500
182, 5281.250000, 6860.000000, 36.229374, 1520000
188, 5280.000000, 7620.000000, 40.23601, 1517500
13, 5275.000000, 8560.000000, 45.153999, 1515000
199, 5276.250000, 360.000000, 49.385700, 1512500
205, 5275.000000, 10160.000000, 53.594002, 1510000
210, 5272.500000, 10960.000000, 57.786598, 1507500
216, 5268.750000, 11700.000000, 61.644375, 150500
222, 5268.70000, 12500.000000, 65.859375, 1502500
228, 5266.250000, 13360.000000, 70.357101, 1500000
233, 5265.000000, 14160.000000, 74.552399, 1497500
239, 5261.250000, 15160.000000, 79.76051, 1495000
250, 5258.750000, 1780.000000, 88.241821, 1490000
256, 5256.250000, 17560.000000, 92.299751, 1487500
262, 5255.000000, 18460.000000, 97.007301, 1485000
267, 5253.750000, 19200.000000, 100.872002, 148500
273, 5251.50000, 20020.000000, 105.130028, 1480000
279, 5250.000000, 20780.00000, 109.095001, 1477500
285, 5247.500000, 21560.000000, 113.13101, 1475000
