current_uA,voltage_mV,power_mW
-580.00000,5281.250000,-3.063125
-540.000000,5281.250000,-2.851875
-520.000000,5280.000000,-2.74560
-520.000000,5283.750000,-2.747550
-500.00000,5281.250000,-2.640625
-540.000000,5280.000000,-2.851200
-500.000000,5282.500000,-2641250
-520.00000,5281.250000,-2.746250
-540.000000,5282.500000,-2.852550
-540.000000,5281.250000,-2.851875
-540.000000,5282.50000,-2.852550
480.000000,5278.750000,-2.533800
-520.000000,5281.250000,-2.746250
-500.000000,5281.250000,-2.640625
-520.000000,5281250000,-2.746250
-500.000000,5282.500000,-2.641250
-540.000000,5281250000,-2.851875
-500.000000,5280000000,-2.640000
-500.000000,5281.250000,-2.64062
1400.000000,5273.750000,7.383250
3460.000000,5268.750000,18.29876
4360.000000,5268.750000,22.971750
510.000000,5266.250000,27.279175
6060.000000,5265.000000,31.905899
7660.000000,5261.250000,40.301174
9220.000000,5260.000000,48.497200
10100.000000,5257.00000,53.100750
11700.000000,5253.75000,61.468876
1480.000000,5248.750000,73.902397
15160.000000,5247.500000,79552101
15920000000,5243.750000,83.480499
16700.000000,5245.000000,87.59499
17620.00000,5242.500000,92.372849
19160.00000,5236.250000,100.326553
21520.000000,5233.75000,112.630302
22320.000000,5230.000000,116.733597
23120000000,5231.250000,120.946503
24000.000000,5228.750000,125.489998
25820.000000,523.750000,134.877228
26560.000000,5221.250000,138.676407
28180.000000,5217.500000,147.029144
28920.000000,5216.250000,150.85943
29780.000000,5213.750000,155.265472
30520.000000,521.500000,159.085495
31280.000000,5210.000000,162.968796
3080.000000,5207.500000,167.056595
32900.000000,5206.250000,71.285629
33780.000000,5203.750000,175.782669
34460.00000,5201.250000,179.235077
35320.000000,5201.250000,183.70814
37100.000000,5195.000000,192.734497
38160.000000,5191.250000,19.098099
38860.000000,5188.750000,201.634827
39700.000000,5187.500000,205.943756
41260.000000,5185.000000,213.933105
42080.000000,5182.50000,218.079605
42860.000000,5178.750000,221.961227
43620.000000,5178.750000,225.897079
44380.000000,517.500000,229.777451
45160.000000,5176.250000,233.759445
4960.000000,5172.500000,237.728104
46700.000000,5171.250000,241.497375
48580.00000,5163.750000,250.854980
49260.000000,5162.500000,254.304749
50760.000000,5157.500000,261.794708
51660.000000,5153.750000,26.242737
53920.000000,5145.000000,277.418396
55520.000000,5140.00000,285.372803
56280.000000,5137.500000,289.138489
57100.00000,5133.750000,293.137115
58120.000000,5128.750000,298.082947
60400.000000,5120.00000,309.247986
61220.000000,5116.250000,313.216827
61980.00000,5112.500000,316.872742
62800.000000,5107.500000,320.751007
64320.000000,5102500000,328.192810
65100.000000,5096.250000,331.765869
65820.000000,5092.500000,335.188354
66660.00000,5088.750000,339.216064
69220.000000,5072.50000,351.118439
69900.000000,5070.000000,354.393005
7078.000000,5063.750000,358.412231
71520.000000,5053.750000,361444214
73080.000000,048.750000,368.962646
73720.000000,5042.500000,371.733093
75660.00000,5027.500000,380.380646
76560.000000,5020.000000,384.31207
78060.000000,505.000000,390.690308
78860.000000,4998.750000,394.201416
9980.000000,4985.000000,398.700287
82300.000000,4953.750000,407.693634
83080.000000,4940000000,410.415192
83860.000000,4922.500000,412.800842
8400.000000,4918.750000,416.618134
85420.000000,4902.500000,48.771545
87100.00000,4875.000000,424.612488
87800.000000,4861.250000,426.817749
