current_uA,voltage_mV,power_mW
-520.000000,5235.000000,-2.722200
-540.000000,5235.000000,-2.826900
-500.000000,5236.250000,-2.618125
-480.000000,5237.500000,-2.514000
-500.000000,5236.250000,-2.618125
-520.000000,5235.000000,-2.722200
-480.000000,5236.250000,-2.513400
-480.000000,5235.000000,-2.512800
-520.000000,5236.250000,-2.722850
-520.000000,5235.000000,-2.722200
-440.000000,5233.750000,-2.302850
-520.000000,5233.750000,-2.721550
-480.000000,5236.250000,-2.513400
-500.000000,5235.000000,-2.617500
-520.000000,5233.750000,-2.721550
-520.000000,5236.250000,-2.722850
-500.000000,5233.750000,-2.616875
-500.000000,5233.750000,-2.616875
-520.000000,5235.000000,-2.722200
-480.000000,5236.250000,-2.513400
-500.000000,5235.000000,-2.617500
-520.000000,5235.000000,-2.722200
-520.000000,5235.000000,-2.722200
-500.000000,5235.000000,-2.617500
1620.000000,5232.500000,8.476650
2560.000000,5231.250000,13.392000
3520.000000,5228.750000,18.405199
4620.000000,5227.500000,24.151051
5520.000000,5227.500000,28.855801
6380.000000,5227.500000,33.351452
7200.000000,5228.750000,37.646999
8060.000000,5225.000000,42.113499
8800.000000,5223.750000,45.969002
9600.000000,5225.000000,50.160000
10400.000000,5223.750000,54.327000
11200.000000,5223.750000,58.506001
12080.000000,5222.500000,63.087799
12820.000000,5221.250000,66.936424
13660.000000,5220.000000,71.305199
14480.000000,5222.500000,75.621803
15200.000000,5220.000000,79.344002
16320.000000,5217.500000,85.149597
17120.000000,5216.250000,89.302200
18000.000000,5216.250000,93.892502
18720.000000,5217.500000,97.671600
19500.000000,5217.500000,101.741249
20300.000000,5213.750000,105.839127
21060.000000,5213.750000,109.801575
21860.000000,5212.500000,113.945251
22680.000000,5213.750000,118.247849
23500.000000,5212.500000,122.493752
24280.000000,5211.250000,126.529152
25000.000000,5210.000000,130.250000
25800.000000,5210.000000,134.417999
27020.000000,5208.750000,140.740417
27680.000000,5208.750000,144.178207
28580.000000,5208.750000,148.866074
29280.000000,5208.750000,152.512207
30100.000000,5205.000000,156.670502
30860.000000,5205.000000,160.626297
31620.000000,5205.000000,164.582108
32320.000000,5203.750000,168.185196
33280.000000,5203.750000,173.180801
34020.000000,5202.500000,176.989044
34820.000000,5202.500000,181.151047
35560.000000,5200.000000,184.912003
36420.000000,5200.000000,189.384003
37380.000000,5200.000000,194.376007
38260.000000,5198.750000,198.904175
39060.000000,5198.750000,203.063171
39820.000000,5197.500000,206.964447
40680.000000,5196.250000,211.383453
41420.000000,5193.750000,215.125122
42200.000000,5195.000000,219.229004
43060.000000,5195.000000,223.696701
43780.000000,5195.000000,227.437103
44580.000000,5193.750000,231.537369
45360.000000,5192.500000,235.531799
46160.000000,5191.250000,239.628098
46920.000000,5190.000000,243.514801
47700.000000,5188.750000,247.503372
48780.000000,5188.750000,253.107224
49560.000000,5186.250000,257.030548
50360.000000,5187.500000,261.242493
51100.000000,5186.250000,265.017365
51920.000000,5186.250000,269.270111
52660.000000,5183.750000,272.976288
53420.000000,5183.750000,276.915924
54200.000000,5182.500000,280.891510
55060.000000,5182.500000,285.348450
55860.000000,5182.500000,289.494446
56560.000000,5181.250000,293.051514
57400.000000,5181.250000,297.403748
58120.000000,5180.000000,301.061615
59200.000000,5176.250000,306.433990
59960.000000,5177.500000,310.442902
60700.000000,5177.500000,314.274261
61460.000000,5176.250000,318.132324
62200.000000,5176.250000,321.962738
63020.000000,5175.000000,326.128510
63780.000000,5175.000000,330.061493
64680.000000,5173.750000,334.638153
65480.000000,5171.250000,338.613464
66320.000000,5172.500000,343.040192
67020.000000,5168.750000,346.409637
67880.000000,5170.000000,350.939606
68680.000000,5167.500000,354.903900
69620.000000,5167.500000,359.761353
70480.000000,5167.500000,364.205414
71260.000000,5166.250000,368.146973
71980.000000,5165.000000,371.776703
72720.000000,5163.750000,375.507904
73620.000000,5163.750000,380.155273
74400.000000,5163.750000,384.183014
75160.000000,5162.500000,388.013489
75820.000000,5161.250000,391.325989
76660.000000,5158.750000,395.469788
77500.000000,5160.000000,399.899994
78260.000000,5158.750000,403.723785
79120.000000,5156.250000,407.962494
79880.000000,5155.000000,411.781403
80960.000000,5155.000000,417.348785
81620.000000,5157.500000,420.955139
82400.000000,5155.000000,424.772003
83300.000000,5153.750000,429.307373
84060.000000,5152.500000,433.119141
84760.000000,5148.750000,436.408051
85600.000000,5150.000000,440.839996
86400.000000,5150.000000,444.959991
87220.000000,5147.500000,448.964935
88020.000000,5146.250000,452.972931
88800.000000,5145.000000,456.876007
89580.000000,5146.250000,461.001068
90320.000000,5146.250000,464.809296
91420.000000,5143.750000,470.241638
92120.000000,5143.750000,473.842255
92960.000000,5140.000000,477.814392
93760.000000,5140.000000,481.926392
94500.000000,5138.750000,485.611877
95220.000000,5138.750000,489.311768
96160.000000,5137.500000,494.022003
96920.000000,5137.500000,497.926514
97680.000000,5135.000000,501.586792
98480.000000,5135.000000,505.694794
99220.000000,5135.000000,509.494690
100000.000000,5132.500000,513.250000
100780.000000,5132.500000,517.253357
101800.000000,5130.000000,522.234009
102600.000000,5130.000000,526.338013
103380.000000,5128.750000,530.210205
104260.000000,5127.500000,534.593140
105060.000000,5126.250000,538.563843
105780.000000,5126.250000,542.254700
106560.000000,5123.750000,545.986816
107380.000000,5123.750000,550.188293
108020.000000,5123.750000,553.467468
108920.000000,5121.250000,557.806580
109660.000000,5121.250000,561.596252
110460.000000,5120.000000,565.555176
111200.000000,5117.500000,569.065979
111920.000000,5118.750000,572.890503
112960.000000,5118.750000,578.213989
113720.000000,5116.250000,581.819946
114580.000000,5116.250000,586.219910
115420.000000,5113.750000,590.229004
116160.000000,5112.500000,593.867981
116920.000000,5111.250000,597.607361
117700.000000,5110.000000,601.447021
118480.000000,5107.500000,605.136597
119280.000000,5108.750000,609.371704
120080.000000,5108.750000,613.458679
120920.000000,5107.500000,617.598877
121680.000000,5106.250000,621.328491
122420.000000,5103.750000,624.801086
123480.000000,5102.500000,630.056702
124280.000000,5100.000000,633.828003
125060.000000,5098.750000,637.649658
125820.000000,5100.000000,641.682007
126620.000000,5096.250000,645.287170
127320.000000,5098.750000,649.172852
128080.000000,5095.000000,652.567627
128920.000000,5095.000000,656.847412
129720.000000,5093.750000,660.761230
130480.000000,5090.000000,664.143188
131280.000000,5088.750000,668.051086
132060.000000,5088.750000,672.020325
132900.000000,5086.250000,675.962646
133980.000000,5087.500000,681.623230
134680.000000,5083.750000,684.679443
135480.000000,5082.500000,688.577087
136260.000000,5082.500000,692.541443
137060.000000,5080.000000,696.264771
137800.000000,5078.750000,699.851746
138580.000000,5077.500000,703.639954
139460.000000,5076.250000,707.933838
140200.000000,5076.250000,711.690247
140980.000000,5075.000000,715.473511
141860.000000,5072.500000,719.584839
142520.000000,5073.750000,723.110840
143300.000000,5068.750000,726.351868
144180.000000,5067.500000,730.632141
145120.000000,5068.750000,735.577026
145980.000000,5066.250000,739.571167
146780.000000,5065.000000,743.440674
147480.000000,5062.500000,746.617493
148360.000000,5061.250000,750.887024
149180.000000,5058.750000,754.664307
149820.000000,5058.750000,757.901917
150660.000000,5057.500000,761.962952
151420.000000,5055.000000,765.428101
152260.000000,5052.500000,769.293640
152960.000000,5053.750000,773.021606
153800.000000,5048.750000,776.497742
154620.000000,5048.750000,780.637695
155620.000000,5047.500000,785.491943
156320.000000,5046.250000,788.829773
157180.000000,5043.750000,792.776611
157960.000000,5041.250000,796.315857
158720.000000,5040.000000,799.948792
159560.000000,5038.750000,803.982971
160260.000000,5036.250000,807.109436
161000.000000,5036.250000,810.836243
161860.000000,5031.250000,814.358154
162660.000000,5032.500000,818.586426
163400.000000,5027.500000,821.493530
164280.000000,5028.750000,826.123047
165060.000000,5026.250000,829.632812
166000.000000,5021.250000,833.527527
166900.000000,5021.250000,838.046631
167600.000000,5018.750000,841.142517
168400.000000,5015.000000,844.526001
