current_uA,voltage_mV,power_mW
-480.000000,4892.500000,-2.348400
-440.000000,4897.500000,-2.154900
-440.000000,4898.750000,-2.155450
-440.000000,4902.500000,-2.157100
-440.000000,4903.750000,-2.157650
-420.000000,4903.750000,-2.059575
-440.000000,4903.750000,-2.157650
-480.000000,4906.250000,-2.355000
-420.000000,4905.000000,-2.060100
-480.000000,4905.000000,-2.354400
-500.000000,4908.750000,-2.454375
-440.000000,4907.500000,-2.159300
-480.000000,4908.750000,-2.356200
-440.000000,4910.000000,-2.160400
-480.000000,4910.000000,-2.356800
-440.000000,4908.750000,-2.159850
-480.000000,4912.500000,-2.358000
-480.000000,4911.250000,-2.357400
-480.000000,4911.250000,-2.357400
-480.000000,4912.500000,-2.358000
-440.000000,4911.250000,-2.160950
-420.000000,4912.500000,-2.063250
-440.000000,4912.500000,-2.161500
-440.000000,4915.000000,-2.162600
1860.000000,4898.750000,9.111675
2660.000000,4900.000000,13.034000
3600.000000,4901.250000,17.644501
4780.000000,4897.500000,23.410049
5580.000000,4895.000000,27.314100
6500.000000,4893.750000,31.809376
7300.000000,4892.500000,35.715248
8080.000000,4890.000000,39.511200
8900.000000,4885.000000,43.476501
9680.000000,4885.000000,47.286800
10480.000000,4883.750000,51.181702
11380.000000,4880.000000,55.534401
12280.000000,4877.500000,59.895699
13000.000000,4872.500000,63.342499
13760.000000,4872.500000,67.045601
14600.000000,4868.750000,71.083748
15420.000000,4866.250000,75.037575
16500.000000,4861.250000,80.210625
17260.000000,4858.750000,83.862022
18100.000000,4856.250000,87.898125
18860.000000,4852.500000,91.518150
19700.000000,4848.750000,95.520378
20460.000000,4845.000000,99.128700
21220.000000,4842.500000,102.757851
22080.000000,4837.500000,106.811996
22860.000000,4845.000000,110.756699
23660.000000,4843.750000,114.603127
24420.000000,4841.250000,118.223328
25280.000000,4841.250000,122.386803
25960.000000,4837.500000,125.581497
27080.000000,4835.000000,130.931793
27920.000000,4832.500000,134.923401
28600.000000,4827.500000,138.066498
29380.000000,4826.250000,141.795227
30220.000000,4822.500000,145.735947
31100.000000,4821.250000,149.940872
31860.000000,4816.250000,153.445724
32700.000000,4811.250000,157.327881
33460.000000,4808.750000,160.900772
34300.000000,4806.250000,164.854370
35000.000000,4800.000000,168.000000
35880.000000,4797.500000,172.134293
36620.000000,4791.250000,175.455582
37680.000000,4785.000000,180.298798
38480.000000,4780.000000,183.934402
39280.000000,4776.250000,187.611099
40080.000000,4768.750000,191.131500
40820.000000,4763.750000,194.456268
41620.000000,4758.750000,198.059174
42420.000000,4768.750000,202.290375
43220.000000,4767.500000,206.051346
44000.000000,4766.250000,209.714996
44900.000000,4761.250000,213.780121
45660.000000,4760.000000,217.341599
46480.000000,4755.000000,221.012405
47300.000000,4750.000000,224.675003
48060.000000,4746.250000,228.104782
